OrderID,OrderDate,Discount,GrandTotal,PaymentMethodID,TotalAmount,CustomerEmail
ORD8721,2024-08-11,13.52,1418.03,PM3174,1431.55,wayne62@yahoo.com
ORD9583,2024-03-08,8.55,1346.49,PM9518,1355.04,wayne62@yahoo.com
ORD5286,2024-05-20,6.54,442.34999999999997,PM6396,448.89,lisa12@hotmail.com
ORD9518,2024-06-29,6.27,1621.51,PM6396,1627.78,lisa12@hotmail.com
ORD2226,2024-10-01,13.18,520.38,PM6396,533.56,lisa12@hotmail.com
ORD6221,2024-02-07,18.54,327.69,PM8816,346.23,bradley16@gmail.com
ORD2514,2024-03-19,15.07,207.51000000000002,PM7803,222.58,andersonchristopher@gmail.com
ORD7709,2024-07-07,18.83,1736.3700000000001,PM7803,1755.2,andersonchristopher@gmail.com
ORD1665,2024-05-21,7.18,154.12,PM7803,161.3,andersonchristopher@gmail.com
ORD9134,2024-09-29,14.27,1754.91,PM8150,1769.18,rebeccastevens@figueroa.org
ORD2197,2024-04-18,18.39,248.35000000000002,PM9828,266.74,wyattpayne@manning-lane.com
ORD8349,2024-01-14,12.94,934.9699999999999,PM9828,947.91,wyattpayne@manning-lane.com
ORD4399,2024-03-20,14.85,571.54,PM7707,586.39,bfernandez@chung.com
ORD8427,2024-04-14,11.51,488.69,PM5013,500.2,bfernandez@chung.com
ORD4721,2024-01-30,8.61,3682.06,PM9036,3690.67,tonyarogers@hotmail.com
ORD7508,2024-10-29,14.59,825.5,PM8559,840.09,tonyarogers@hotmail.com
ORD9082,2024-04-04,5.34,311.41,PM9036,316.75,tonyarogers@hotmail.com
ORD7415,2024-03-20,6.24,1893.89,PM2372,1900.13,charper@roberts-farley.com
ORD7643,2024-03-12,13.09,498.15000000000003,PM2372,511.24,charper@roberts-farley.com
ORD4459,2024-10-11,16.4,2387.99,PM2372,2404.39,charper@roberts-farley.com
ORD5935,2024-08-26,10.13,60.839999999999996,PM2590,70.97,adamjennings@davis-pruitt.com
ORD6836,2024-02-08,11.45,235.22,PM6254,246.67,mullensarah@yahoo.com
ORD3640,2024-06-26,11.01,1329.35,PM6254,1340.36,mullensarah@yahoo.com
ORD1690,2024-09-04,19.35,659.25,PM8387,678.6,normaoconnor@banks-holt.com
ORD6036,2024-02-25,10.17,2299.96,PM8387,2310.13,normaoconnor@banks-holt.com
ORD1187,2024-02-21,13.65,400.01000000000005,PM4885,413.66,yarnold@mccullough.com
ORD4076,2024-04-03,18.51,181.12,PM4885,199.63,yarnold@mccullough.com
ORD2126,2024-05-19,19.66,80.29,PM4885,99.95,yarnold@mccullough.com
ORD7149,2024-09-30,14.12,47.970000000000006,PM5987,62.09,youngdaniel@contreras.com
ORD9826,2024-08-11,19.88,656.36,PM8017,676.24,bensonmichael@hotmail.com
ORD6559,2023-12-16,13.49,1640.07,PM2146,1653.56,christinedavis@yahoo.com
ORD2297,2024-01-01,8.56,1166.17,PM8812,1174.73,hgibson@hotmail.com
ORD7408,2024-10-15,18.02,1862.1200000000001,PM8812,1880.14,hgibson@hotmail.com
ORD9514,2024-09-16,19.3,913.24,PM7396,932.54,olsonanna@chavez.org
ORD5168,2024-09-30,13.48,265.03999999999996,PM7396,278.52,olsonanna@chavez.org
ORD8190,2024-09-11,14.93,629.48,PM7396,644.41,olsonanna@chavez.org
ORD3030,2024-02-14,10.49,2165.67,PM9958,2176.16,amandaramos@gmail.com
ORD4296,2023-11-21,11.33,90.13,PM5378,101.46,amandaramos@gmail.com
ORD4835,2024-08-27,15.55,831.82,PM1102,847.37,sandovalnathan@gmail.com
ORD8725,2024-07-27,7.09,126.32,PM6364,133.41,castillozachary@smith-matthews.com
ORD4316,2024-10-02,11.97,961.27,PM6364,973.24,castillozachary@smith-matthews.com
ORD8857,2024-08-01,7.43,739.35,PM1596,746.78,uthompson@sanford-chambers.com
ORD6440,2024-09-03,18.93,1064.3899999999999,PM2451,1083.32,hramirez@gmail.com
ORD3857,2023-11-16,6.14,1528.4199999999998,PM2600,1534.56,hramirez@gmail.com
ORD8160,2024-07-18,12.02,113.25,PM2600,125.27,hramirez@gmail.com
ORD6811,2024-04-18,18.35,361.77,PM5168,380.12,hensonyolanda@morris-saunders.com
ORD1306,2024-09-19,12.52,1010.01,PM7400,1022.53,stevensuarez@carter.com
ORD5692,2024-02-23,17.61,1751.8400000000001,PM6675,1769.45,sarahrodriguez@morgan.com
ORD1022,2024-11-02,12.4,1762.36,PM1697,1774.76,sarahrodriguez@morgan.com
ORD1417,2024-02-19,17.04,1933.3400000000001,PM6675,1950.38,sarahrodriguez@morgan.com
ORD9615,2024-02-07,8.15,265.88,PM2216,274.03,veronicasmith@roberts.com
ORD5879,2024-01-18,12.6,1298.6100000000001,PM2444,1311.21,matthewfitzgerald@gmail.com
ORD6784,2024-09-05,12.41,1854.31,PM2444,1866.72,matthewfitzgerald@gmail.com
ORD4456,2024-03-24,11.0,5259.11,PM3493,5270.11,vangeric@gmail.com
ORD8543,2024-04-07,10.33,1774.53,PM6692,1784.86,vangeric@gmail.com
ORD3445,2024-01-30,16.22,1486.42,PM3493,1502.64,vangeric@gmail.com
ORD1764,2024-01-24,13.08,208.67,PM6062,221.75,whiteadriana@yahoo.com
ORD3037,2024-07-30,5.85,1544.72,PM6062,1550.57,whiteadriana@yahoo.com
ORD6161,2023-11-18,14.16,1055.85,PM6062,1070.01,whiteadriana@yahoo.com
