ReviewID,ReviewDate,Rating,Text,ProductID,CustomerEmail,OrderID
REV1048,2024/4/7,3,"An average product. It performs decently, but there are areas that could use improvement. It's okay for the price, but I expected a bit more.",PROD066,tonyarogers@hotmail.com,ORD9082
REV1049,2024/3/16,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD069,charper@roberts-farley.com,ORD7415
REV1049,2024/3/16,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD069,charper@roberts-farley.com,ORD7643
REV1050,2024/10/23,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD051,charper@roberts-farley.com,ORD4459
REV1051,2024/10/20,4,"Good quality overall. The product works well, and I'm generally satisfied with it. It meets most of my expectations.",PROD048,charper@roberts-farley.com,ORD4459
REV1052,2024/10/19,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD088,charper@roberts-farley.com,ORD4459
REV1053,2024/10/22,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD044,charper@roberts-farley.com,ORD4459
REV1054,2024/10/25,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD011,charper@roberts-farley.com,ORD4459
REV1055,2024/2/11,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD015,mullensarah@yahoo.com,ORD6836
REV1056,2024/3/6,4,"Good quality overall. The product works well, and I'm generally satisfied with it. It meets most of my expectations.",PROD057,normaoconnor@banks-holt.com,ORD6036
REV1057,2024/3/10,4,"Good quality overall. The product works well, and I'm generally satisfied with it. It meets most of my expectations.",PROD012,normaoconnor@banks-holt.com,ORD6036
REV1058,2024/8/21,3,"An average product. It performs decently, but there are areas that could use improvement. It's okay for the price, but I expected a bit more.",PROD037,bensonmichael@hotmail.com,ORD9826
REV1059,2024/1/13,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD065,hgibson@hotmail.com,ORD2297
REV1060,2024/1/13,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD040,hgibson@hotmail.com,ORD2297
REV1061,2024/1/13,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD067,hgibson@hotmail.com,ORD2297
REV1062,2024/1/14,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD084,hgibson@hotmail.com,ORD2297
REV1063,2024/1/14,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD021,hgibson@hotmail.com,ORD2297
REV1064,2024/10/7,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD062,olsonanna@chavez.org,ORD5168
REV1065,2024/9/16,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD055,olsonanna@chavez.org,ORD8190
REV1066,2024/8/4,3,"An average product. It performs decently, but there are areas that could use improvement. It's okay for the price, but I expected a bit more.",PROD089,castillozachary@smith-matthews.com,ORD8725
REV1067,2024/4/29,4,"Good quality overall. The product works well, and I'm generally satisfied with it. It meets most of my expectations.",PROD064,hensonyolanda@morris-saunders.com,ORD6811
REV1068,2024/4/27,1,Extremely disappointed. The product did not match the description at all and was of very poor quality. Definitely not recommended.,PROD043,hensonyolanda@morris-saunders.com,ORD6811
REV1069,2024/4/25,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD040,hensonyolanda@morris-saunders.com,ORD6811
REV1070,2024/4/26,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD057,hensonyolanda@morris-saunders.com,ORD6811
REV1071,2024/2/3,3,"An average product. It performs decently, but there are areas that could use improvement. It's okay for the price, but I expected a bit more.",PROD055,vangeric@gmail.com,ORD3445
REV1072,2024/2/4,5,"Fantastic product! Excellent quality, works exactly as advertised, and I couldn't be happier. Highly recommended for anyone in the market for this.",PROD080,vangeric@gmail.com,ORD3445
REV1073,2024/2/4,2,The product was below expectations. It had several flaws and didn't function as advertised. Not worth the money.,PROD096,vangeric@gmail.com,ORD3445
